Rank,Title,Type,Episodes,Air Dates,Members,Score
70,Boku no Kokoro no Yabai Yatsu 2nd Season,TV,13,Jan 2024 - Mar 2024,315134,8.69
71,Kimetsu no Yaiba: Yuukaku-hen,TV,11,Dec 2021 - Feb 2022,1752019,8.69
72,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,Feb 1999 - Sep 1999,293127,8.69
73,Violet Evergarden,TV,13,Jan 2018 - Apr 2018,2007254,8.69
74,Great Teacher Onizuka,TV,43,Jun 1999 - Sep 2000,925099,8.68
75,Mushishi Zoku Shou,TV,10,Apr 2014 - Jun 2014,327961,8.68
76,Bleach: Sennen Kessen-hen - Soukoku-tan,TV,14,Oct 2024 - Dec 2024,302919,8.67
77,Hajime no Ippo: New Challenger,TV,26,Jan 2009 - Jul 2009,328165,8.67
78,Howl no Ugoku Shiro,Movie,1,Nov 2004 - Nov 2004,1496668,8.67
79,Kingdom 6th Season,TV,13,Oct 2025 - Dec 2025,40120,8.67
80,Mononoke Hime,Movie,1,Jul 1997 - Jul 1997,1386150,8.67
81,Tu Bian Yingxiong X,ONA,24,Apr 2025 - Sep 2025,255928,8.67
82,Uma Musume: Cinderella Gray Part 2,TV,10,Oct 2025 - Dec 2025,68566,8.67
83,Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai,Movie,1,Jul 2025 - Jul 2025,385893,8.66
84,Mo Dao Zu Shi: Wanjie Pian,ONA,12,Aug 2021 - Oct 2021,97024,8.66
85,Luo Xiaohei Zhanji 2,Movie,1,Jul 2025 - Jul 2025,12253,8.65
86,Mushishi,TV,26,Oct 2005 - Jun 2006,909950,8.65
87,Shingeki no Kyojin Season 3,TV,12,Jul 2018 - Oct 2018,2678859,8.65
88,Monogatari Series: Off & Monster Season,ONA,14,Jul 2024 - Oct 2024,104804,8.64
89,Shigatsu wa Kimi no Uso,TV,22,Oct 2014 - Mar 2015,2435951,8.64
90,Tengen Toppa Gurren Lagann,TV,27,Apr 2007 - Sep 2007,1775165,8.64
91,Tian Guan Cifu Er,ONA,12,Oct 2023 - Jan 2024,65668,8.64
92,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Movie,1,May 2024 - May 2024,60665,8.64
93,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,Aug 2020 - Aug 2020,410617,8.63
94,Natsume Yuujinchou Shi,TV,13,Jan 2012 - Mar 2012,266840,8.63
95,Odd Taxi,TV,13,Apr 2021 - Jun 2021,513826,8.63
96,Ping Pong the Animation,TV,11,Apr 2014 - Jun 2014,442147,8.63
97,Shiguang Dailiren II,ONA,12,Jul 2023 - Sep 2023,174051,8.63
98,Cyberpunk: Edgerunners,ONA,10,Sep 2022 - Sep 2022,1069973,8.62
99,Death Note,TV,37,Oct 2006 - Jun 2007,4317195,8.62
100,Haikyuu!! Movie: Gomisuteba no Kessen,Movie,1,Feb 2024 - Feb 2024,231699,8.62
101,Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,TV,12,Jan 2026 - Mar 2026,521095,8.62
102,Look Back,Movie,1,Jun 2024 - Jun 2024,249982,8.62
103,Made in Abyss,TV,13,Jul 2017 - Sep 2017,1559313,8.62
104,Guimi Zhi Zhu: Xiaochou Pian,ONA,13,Jun 2025 - Aug 2025,212884,8.61
105,Haikyuu!! Second Season,TV,25,Oct 2015 - Mar 2016,1572743,8.61
106,Hajime no Ippo: Rising,TV,25,Oct 2013 - Mar 2014,300542,8.61
107,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12,Apr 2020 - Jun 2020,1507872,8.61
108,Kenpuu Denki Berserk,TV,25,Oct 1997 - Apr 1998,771230,8.61
109,Natsume Yuujinchou Roku,TV,11,Apr 2017 - Jun 2017,206530,8.61
110,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,1,Apr 2009 - Apr 2009,239862,8.61
111,Bungou Stray Dogs 5th Season,TV,11,Jul 2023 - Sep 2023,262255,8.6
112,Chiikawa,TV,?,Apr 2022 -,21968,8.6
113,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,1,Jan 2020 - Jan 2020,540716,8.6
114,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,12,Oct 2021 - Dec 2021,1130460,8.6
115,Dungeon Meshi,TV,24,Jan 2024 - Jun 2024,592898,8.59
116,Made in Abyss: Retsujitsu no Ougonkyou,TV,12,Jul 2022 - Sep 2022,543180,8.59
117,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,1,Jun 2019 - Jun 2019,826752,8.59
118,Super no Ura de Yani Suu Futari,TV,?,Jun 2026 -,83894,8.59
119,Suzumiya Haruhi no Shoushitsu,Movie,1,Feb 2010 - Feb 2010,651655,8.59
120,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,39,Oct 2018 - Jul 2019,1178989,8.58
121,Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,May 2015 - May 2015,141476,8.58
122,Shin Evangelion Movie:||,Movie,1,Mar 2021 - Mar 2021,426942,8.58
123,Uma Musume: Cinderella Gray,TV,13,Apr 2025 - Jun 2025,105072,8.58
124,Doupo Cangqiong: San Nian Zhi Yue,ONA,13,Oct 2021 - Jan 2022,11611,8.57
125,Nana,TV,47,Apr 2006 - Mar 2007,787615,8.57
126,Natsume Yuujinchou Shichi,TV,12,Oct 2024 - Dec 2024,59476,8.57
127,Shingeki no Kyojin,TV,25,Apr 2013 - Sep 2013,4379544,8.57
128,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie,1,Jul 1997 - Jul 1997,1047662,8.57
129,Haikyuu!! To the Top Part 2,TV,12,Oct 2020 - Dec 2020,932470,8.56
130,Kizumonogatari II: Nekketsu-hen,Movie,1,Aug 2016 - Aug 2016,491058,8.56
131,Natsume Yuujinchou Go,TV,11,Oct 2016 - Dec 2016,206655,8.56
132,Natsume Yuujinchou San,TV,13,Jul 2011 - Sep 2011,273039,8.56
133,Ookami Kodomo no Ame to Yuki,Movie,1,Jul 2012 - Jul 2012,870685,8.56
134,Perfect Blue,Movie,1,Feb 1998 - Feb 1998,827509,8.56
135,Slam Dunk,TV,101,Oct 1993 - Mar 1996,339688,8.56
136,Kimi no Suizou wo Tabetai,Movie,1,Sep 2018 - Sep 2018,1125778,8.55
137,Steins;Gate 0,TV,23,Apr 2018 - Sep 2018,959561,8.55
138,Yojouhan Shinwa Taikei,TV,11,Apr 2010 - Jul 2010,497414,8.55
139,Fanren Xiu Xian Zhuan 4th Season,ONA,52,Jan 2025 - Jan 2026,3224,8.54
140,Fate/Zero 2nd Season,TV,12,Apr 2012 - Jun 2012,1199880,8.54
141,Hotaru no Haka,Movie,1,Apr 1988 - Apr 1988,771448,8.54
142,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,1,Oct 2020 - Oct 2020,1786402,8.54
143,Shingeki no Kyojin Season 2,TV,12,Apr 2017 - Jun 2017,3032783,8.54
